locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDDCBLLE_00001	tRNA	85				tRNA-Tyr(gta)
IDDCBLLE_00002	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
IDDCBLLE_00003	CDS	459				hypothetical protein
IDDCBLLE_00004	CDS	897			COG1752	putative NTE family protein
IDDCBLLE_00005	CDS	1014	rssB		COG0784	Regulator of RpoS
IDDCBLLE_00006	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
IDDCBLLE_00007	CDS	414	hns_1		COG2916	DNA-binding protein H-NS
IDDCBLLE_00008	CDS	618	tdk	2.7.1.21		Thymidine kinase
IDDCBLLE_00009	CDS	2679	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
IDDCBLLE_00010	CDS	648				hypothetical protein
IDDCBLLE_00011	CDS	1632	oppA		COG4166	Periplasmic oligopeptide-binding protein
IDDCBLLE_00012	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
IDDCBLLE_00013	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
IDDCBLLE_00014	CDS	1008	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
IDDCBLLE_00015	CDS	1005	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IDDCBLLE_00016	CDS	837				hypothetical protein
IDDCBLLE_00017	CDS	330				hypothetical protein
IDDCBLLE_00018	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
IDDCBLLE_00019	CDS	174				hypothetical protein
IDDCBLLE_00020	CDS	297	yciI		COG2350	Protein YciI
IDDCBLLE_00021	CDS	729	tonB		COG0810	Protein TonB
IDDCBLLE_00022	CDS	402		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
IDDCBLLE_00023	CDS	540	yciB		COG2917	putative intracellular septation protein A
IDDCBLLE_00024	CDS	744				hypothetical protein
IDDCBLLE_00025	CDS	405				hypothetical protein
IDDCBLLE_00026	CDS	639	ompW		COG3047	Outer membrane protein W
IDDCBLLE_00027	CDS	879		1.11.1.6		Manganese catalase
IDDCBLLE_00028	CDS	507	yciE		COG3685	Protein YciE
IDDCBLLE_00029	CDS	504	yciF		COG3685	Protein YciF
IDDCBLLE_00030	CDS	183				hypothetical protein
IDDCBLLE_00031	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
IDDCBLLE_00032	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
IDDCBLLE_00033	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
IDDCBLLE_00034	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
IDDCBLLE_00035	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
IDDCBLLE_00036	CDS	870	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
IDDCBLLE_00037	CDS	621	yciO		COG0009	putative protein YciO
IDDCBLLE_00038	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
IDDCBLLE_00039	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
IDDCBLLE_00040	CDS	762	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
IDDCBLLE_00041	CDS	1041	sohB	3.4.21.-	COG0616	putative protease SohB
IDDCBLLE_00042	CDS	252	yciN			Protein YciN
IDDCBLLE_00043	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
IDDCBLLE_00044	CDS	153				hypothetical protein
IDDCBLLE_00045	CDS	975	cysB			HTH-type transcriptional regulator CysB
IDDCBLLE_00046	CDS	129	ymiA			Protein YmiA
IDDCBLLE_00047	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
IDDCBLLE_00048	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
IDDCBLLE_00049	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
IDDCBLLE_00050	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
IDDCBLLE_00051	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
IDDCBLLE_00052	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
IDDCBLLE_00053	CDS	327	yciH		COG0023	putative protein YciH
IDDCBLLE_00054	CDS	219	osmB			Osmotically-inducible lipoprotein B
IDDCBLLE_00055	CDS	723	srlR_1		COG1349	Glucitol operon repressor
IDDCBLLE_00056	CDS	180				hypothetical protein
IDDCBLLE_00057	CDS	1983	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
IDDCBLLE_00058	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
IDDCBLLE_00059	CDS	1134				hypothetical protein
IDDCBLLE_00060	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
IDDCBLLE_00061	CDS	1374	steC	2.7.-.-		Secreted effector kinase SteC
IDDCBLLE_00062	CDS	708	ydiV_1		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
IDDCBLLE_00063	CDS	807	sapF		COG4167	Peptide transport system ATP-binding protein SapF
IDDCBLLE_00064	CDS	993	sapD		COG4170	Peptide transport system ATP-binding protein SapD
IDDCBLLE_00065	CDS	891	sapC		COG4171	Peptide transport system permease protein SapC
IDDCBLLE_00066	CDS	966	sapB		COG4168	Peptide transport system permease protein SapB
IDDCBLLE_00067	CDS	1650	sapA		COG4166	Peptide transport periplasmic protein SapA
IDDCBLLE_00068	CDS	981	pspF		COG1221	Psp operon transcriptional activator
IDDCBLLE_00069	CDS	669	pspA		COG1842	Phage shock protein A
IDDCBLLE_00070	CDS	225	pspB			Phage shock protein B
IDDCBLLE_00071	CDS	360	pspC		COG1983	Phage shock protein C
IDDCBLLE_00072	CDS	219	pspD			Phage shock protein D
